delta,threshold,mean_f1_local,mean_recall_local,mean_precision_local,mean_normal_false_alert_rate_local,mean_onset_valid_detection_rate_local,mean_onset_clean_valid_detection_rate_local,mean_persistent_detection_rate_local,mean_persistent_valid_detection_rate_local,mean_delay_min_onset_local,mean_delay_min_persistent_local,f1_N2,precision_N2,recall_N2,normal_false_alert_rate_N2,onset_valid_detection_rate_N2,onset_clean_valid_detection_rate_N2,persistent_valid_detection_rate_N2,mean_delay_min_onset_N2,f1_N8,precision_N8,recall_N8,normal_false_alert_rate_N8,onset_valid_detection_rate_N8,onset_clean_valid_detection_rate_N8,persistent_valid_detection_rate_N8,mean_delay_min_onset_N8,f1_N9,precision_N9,recall_N9,normal_false_alert_rate_N9,onset_valid_detection_rate_N9,onset_clean_valid_detection_rate_N9,persistent_valid_detection_rate_N9,mean_delay_min_onset_N9,rank_score
0.025,60,0.3920062196667145,0.2719571865443425,0.7803046315784948,0.16666666666666666,0.6,0.5466666666666667,0.3466666666666667,0.2933333333333334,226.26666666666665,1003.6666666666666,0.36425106570630605,0.9157427937915743,0.2273394495412844,0.2,1.0,0.88,0.08,232.8,0.36635780470420526,0.8210862619808307,0.23577981651376148,0.2,0.4,0.4,0.4,254.0,0.4454097885896322,0.6040848389630793,0.35275229357798166,0.1,0.4,0.36,0.4,192.0,2.6884248786668583
0.05,60,0.3903769680804207,0.26877675840978593,0.7948006221425524,0.16666666666666666,0.6,0.5466666666666667,0.3466666666666667,0.2933333333333334,230.46666666666667,1004.3333333333334,0.35815602836879434,0.9195751138088012,0.22238532110091744,0.2,1.0,0.88,0.08,238.4,0.3669064748201439,0.85,0.23394495412844038,0.2,0.4,0.4,0.4,258.0,0.44606840105232387,0.6148267526188558,0.35,0.1,0.4,0.36,0.4,195.0,2.677707872321683
0.0,60,0.3933838701010533,0.27452599388379206,0.7701391629928874,0.16666666666666666,0.6,0.5333333333333333,0.36000000000000004,0.2933333333333334,221.73333333333335,1003.6666666666666,0.3690371671056482,0.9111271676300579,0.23137614678899082,0.2,1.0,0.88,0.08,227.2,0.36756373937677056,0.8059006211180124,0.23807339449541284,0.2,0.4,0.4,0.4,249.0,0.4435507038207412,0.5933897002305919,0.3541284403669725,0.1,0.4,0.32,0.4,189.0,2.67180214707088
0.1,60,0.38448484207276995,0.2616207951070337,0.813084573047591,0.16666666666666666,0.6,0.5466666666666667,0.3333333333333333,0.28,242.33333333333334,1001.6666666666666,0.3454463885150292,0.9337105901374293,0.21192660550458717,0.2,1.0,0.88,0.04,256.0,0.3608584939978174,0.8717047451669596,0.22752293577981653,0.2,0.4,0.4,0.4,272.0,0.4471496437054632,0.6338383838383839,0.34541284403669725,0.1,0.4,0.36,0.4,199.0,2.6156060349577466
0.025,30,0.4343300162769605,0.3718348623853211,0.5804881036399444,0.5666666666666667,0.6,0.48000000000000004,0.7600000000000001,0.5466666666666667,64.06666666666666,876.7619047619047,0.442889211673049,0.7899199246349505,0.30770642201834864,0.7,1.0,0.8,0.84,73.2,0.4297155481911074,0.5399028452463567,0.3568807339449541,0.5,0.4,0.4,0.4,27.0,0.43038528896672507,0.41164154103852596,0.45091743119266053,0.5,0.4,0.24,0.4,92.0,2.593253398441176
0.01,30,0.43259178896614414,0.37327217125382256,0.573293208997741,0.5666666666666667,0.6,0.48000000000000004,0.7600000000000001,0.5466666666666667,63.06666666666666,876.6031746031746,0.4446786090621707,0.7880485527544351,0.30972477064220183,0.7,1.0,0.8,0.84,71.2,0.4272428884026258,0.5291327913279132,0.35825688073394496,0.5,0.4,0.4,0.4,27.0,0.42585386943363596,0.4026982829108749,0.4518348623853211,0.5,0.4,0.24,0.4,91.0,2.58730048919791
0.5,10,0.4644529238897133,0.4089296636085627,0.5877533119171651,0.6333333333333333,0.6,0.41333333333333333,0.8266666666666667,0.6,39.53333333333333,720.5333333333333,0.4857544397598058,0.7997475809844342,0.3488073394495413,0.8,1.0,0.68,1.0,49.6,0.4376495612868918,0.5205566097406704,0.3775229357798165,0.6,0.4,0.36,0.4,7.0,0.4699547706224424,0.44295574502639057,0.5004587155963303,0.5,0.4,0.2,0.4,62.0,2.5782783622255203
0.05,30,0.43574932319414234,0.3695718654434251,0.5899211411593605,0.5666666666666667,0.6,0.48000000000000004,0.7466666666666667,0.5333333333333333,65.73333333333333,891.0,0.4416445623342175,0.7966507177033493,0.3055045871559633,0.7,1.0,0.8,0.8,75.2,0.43212986286034144,0.5541995692749462,0.3541284403669725,0.5,0.4,0.4,0.4,29.0,0.43347354438786806,0.41891313649978607,0.44908256880733943,0.5,0.4,0.24,0.4,93.0,2.57059729277657
0.2,60,0.3715244875313292,0.24672782874617738,0.8445794145275318,0.16666666666666666,0.6,0.5466666666666667,0.3333333333333333,0.28,266.2,1003.6666666666666,0.31843831020283664,0.943089430894309,0.19155963302752294,0.2,1.0,0.88,0.04,303.6,0.3393984404010397,0.8908382066276803,0.20963302752293578,0.2,0.4,0.4,0.4,289.0,0.45673671199011123,0.6998106060606061,0.33899082568807337,0.1,0.4,0.36,0.4,206.0,2.539897950125317
0.2,20,0.44076991072391164,0.38737003058103975,0.5637636609690824,0.6333333333333333,0.6,0.45333333333333337,0.7999999999999999,0.5866666666666666,53.0,795.6388888888888,0.45750452079566006,0.7726876090750436,0.324954128440367,0.8,1.0,0.76,0.96,62.0,0.42659574468085104,0.5075949367088608,0.3678899082568807,0.5,0.4,0.36,0.4,18.0,0.4382094666952238,0.41100843712334273,0.46926605504587154,0.6,0.4,0.24,0.4,79.0,2.52341297622898
