config,cols,alpha,drift,threshold,group_col,scenario_id,source_file,scenario_type,last_label,tp,fp,fn,tn,detected_any,valid_detection,first_alert_idx,first_alert_time_s,first_valid_alert_idx,first_valid_alert_time_s,delay_min,fp_before_onset,clean_valid_detection,clean_delay_min,max_score,mean_score
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,46,data_46.csv,onset_leak,4,57,23,16,49,1,1,49.0,29400.0,72.0,43200.0,0.0,23,0,,235.90022009055397,68.0186946390928
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,47,data_47.csv,onset_leak,4,61,0,12,72,1,1,84.0,50400.0,84.0,50400.0,120.0,0,1,120.0,211.13288738613718,52.49490729850081
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,48,data_48.csv,onset_leak,4,59,20,14,52,1,1,17.0,10200.0,86.0,51600.0,140.0,20,0,,229.74792348484448,63.977573747923906
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,49,data_49.csv,onset_leak,4,63,0,10,72,1,1,82.0,49200.0,82.0,49200.0,100.0,0,1,100.0,230.42558794940197,55.58165725047566
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,50,data_50.csv,onset_leak,4,58,20,15,52,1,1,17.0,10200.0,87.0,52200.0,150.0,20,0,,242.64305254172749,71.75395435160372
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,51,data_51.csv,persistent_leak,5,139,0,6,0,1,1,6.0,3600.0,6.0,3600.0,60.0,0,1,60.0,663.6715136625742,383.1604927580201
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,52,data_52.csv,persistent_leak,5,140,0,5,0,1,1,5.0,3000.0,5.0,3000.0,50.0,0,1,50.0,666.086877742593,399.43652789235847
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,53,data_53.csv,persistent_leak,5,140,0,5,0,1,1,5.0,3000.0,5.0,3000.0,50.0,0,1,50.0,622.7506925328914,376.21944146769926
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,54,data_54.csv,persistent_leak,5,139,0,6,0,1,1,6.0,3600.0,6.0,3600.0,60.0,0,1,60.0,556.2093931962396,354.9309784450745
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,55,data_55.csv,persistent_leak,5,140,0,5,0,1,1,5.0,3000.0,5.0,3000.0,50.0,0,1,50.0,642.445870876219,390.683650205773
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,56,data_56.csv,onset_leak,5,63,20,10,52,1,1,17.0,10200.0,82.0,49200.0,100.0,20,0,,258.3178744973148,68.40860912569144
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,57,data_57.csv,onset_leak,5,52,20,21,52,1,1,31.0,18600.0,93.0,55800.0,210.0,20,0,,174.39790535499043,56.8834291970407
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,58,data_58.csv,onset_leak,5,73,39,0,33,1,1,33.0,19800.0,72.0,43200.0,0.0,39,0,,252.3155181091283,94.22558461643416
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,59,data_59.csv,onset_leak,5,65,20,8,52,1,1,17.0,10200.0,80.0,48000.0,80.0,20,0,,258.3033355629739,77.06996849397417
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,60,data_60.csv,onset_leak,5,73,19,0,53,1,1,53.0,31800.0,72.0,43200.0,0.0,19,0,,243.42910445939577,84.31127596482814
local_N2,V_N2,0.25,0.75,50.0,hour,1,data_1.csv,normal,0,0,0,0,145,0,0,,,,,,0,0,,14.023793241921076,1.5100651441646877
local_N2,V_N2,0.25,0.75,50.0,hour,2,data_2.csv,normal,0,0,0,0,145,0,0,,,,,,0,0,,40.16724218912807,15.381162253744638
local_N2,V_N2,0.25,0.75,50.0,hour,3,data_3.csv,normal,0,0,0,0,145,0,0,,,,,,0,0,,1.678814497261357,0.07381275567327986
local_N2,V_N2,0.25,0.75,50.0,hour,4,data_4.csv,normal,0,0,0,0,145,0,0,,,,,,0,0,,0.0,0.0
local_N2,V_N2,0.25,0.75,50.0,hour,5,data_5.csv,normal,0,0,0,0,145,0,0,,,,,,0,0,,14.46461327958442,2.0230329947883536
local_N2,V_N2,0.25,0.75,50.0,hour,6,data_6.csv,normal,0,0,0,0,145,0,0,,,,,,0,0,,33.82749143912661,10.079957634295297
local_N2,V_N2,0.25,0.75,50.0,hour,7,data_7.csv,normal,0,0,0,0,145,0,0,,,,,,0,0,,0.0,0.0
local_N2,V_N2,0.25,0.75,50.0,hour,8,data_8.csv,normal,0,0,0,0,145,0,0,,,,,,0,0,,21.596255386545714,6.664216650336806
local_N2,V_N2,0.25,0.75,50.0,hour,9,data_9.csv,normal,0,0,0,0,145,0,0,,,,,,0,0,,20.89480123139389,4.4145880371346085
local_N2,V_N2,0.25,0.75,50.0,hour,10,data_10.csv,normal,0,0,0,0,145,0,0,,,,,,0,0,,19.688072557919657,2.9547934830800826
local_N2,V_N2,0.25,0.75,50.0,hour,11,data_11.csv,persistent_leak,1,134,0,11,0,1,1,11.0,6600.0,11.0,6600.0,110.0,0,1,110.0,604.2209001485355,334.6021689800547
local_N2,V_N2,0.25,0.75,50.0,hour,12,data_12.csv,persistent_leak,1,136,0,9,0,1,1,9.0,5400.0,9.0,5400.0,90.0,0,1,90.0,515.7788865672933,328.6948080707307
local_N2,V_N2,0.25,0.75,50.0,hour,13,data_13.csv,persistent_leak,1,134,0,11,0,1,1,11.0,6600.0,11.0,6600.0,110.0,0,1,110.0,315.56167952797693,230.40379790441838
local_N2,V_N2,0.25,0.75,50.0,hour,14,data_14.csv,persistent_leak,1,135,0,10,0,1,1,10.0,6000.0,10.0,6000.0,100.0,0,1,100.0,407.4207458969487,249.842896045921
local_N2,V_N2,0.25,0.75,50.0,hour,15,data_15.csv,persistent_leak,1,133,0,12,0,1,1,12.0,7200.0,12.0,7200.0,120.0,0,1,120.0,565.6134364225362,319.14262525565925
local_N2,V_N2,0.25,0.75,50.0,hour,16,data_16.csv,onset_leak,1,5,0,68,72,1,1,140.0,84000.0,140.0,84000.0,680.0,0,1,680.0,79.79810626572534,8.648274568845544
local_N2,V_N2,0.25,0.75,50.0,hour,17,data_17.csv,onset_leak,1,60,0,13,72,1,1,85.0,51000.0,85.0,51000.0,130.0,0,1,130.0,229.75119629894635,51.58784089007168
local_N2,V_N2,0.25,0.75,50.0,hour,18,data_18.csv,onset_leak,1,64,0,9,72,1,1,81.0,48600.0,81.0,48600.0,90.0,0,1,90.0,209.07561253472585,63.17023671475472
